start,duration,value
2020-07-18T20:14:00+02:00,"[60,60]","[4.98,19]"
2020-07-18T20:26:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[26.22,7.65,29.42,38.87,59.69,44.39,8.06,25.91,13.45,18.71,38.9,9.44,6.91,15.26,31.71,17.34,0,21.94,41.48,36.6,0]"
2020-07-18T20:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[8.41,58.96,11.77,27.15,56.33,8.16,35.59,23.23,10.45,25.95,9.6,35.59,4.6,36.42,8.97,13.81,13.22,4.26,18.85,34.52,15.27,6.35]"
2020-07-18T21:10:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[39.93,0,6.8,0,34.84,24.42,5.5,23.45,22.14,17.92,37.81,17.84,30.25,18.73,44.13,26.4,0,39.42,56.08,54.12,25.32,23.87,55.25,34.86,32.03,49.47,29.49,27.4,15.04,28.69,12.51,0,14.37,0.89,17.87,0,10.01,24.16,0,4.68,7.29,9.69,14.28,4.97,50.12,39.79,70.87,36.62,58.22,67.19,8.24,14.67,4.63]"
2020-07-18T22:04:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[0,24.93,73.14,76.55,56.33,26.44,33.62,4.27,20.56,14.62]"
2020-07-18T22:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,39.16,47.31,28.65,18.11,7.02,8.6,40.95,68.87,11.85,10.92]"
2020-07-18T22:42:00+02:00,[60],[0]
2020-07-18T22:44:00+02:00,[60],[11.48]
2020-07-19T11:30:00+02:00,[120],[5.25]
2020-07-19T11:40:00+02:00,[60],[6.8]
2020-07-19T11:42:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[61.35,78,65.06,80.35,73.59,83.72,67.8,73.47,32.77,58.08,75.64,69.57,73.47,41.68,21.04,56.44,64.18,64.45,79.1,48.24]"
2020-07-19T12:02:00+02:00,"[60,60,60,60]","[25.05,57.05,14.46,39.2]"
2020-07-19T12:07:00+02:00,"[60,60,60,60,60,60,60,60,60]","[45.46,9.2,52.46,40.83,0,11.89,26.93,21.93,4.27]"
2020-07-19T12:17:00+02:00,[60],[8.05]
2020-07-19T12:20:00+02:00,"[60,60]","[9.92,4.68]"
2020-07-19T12:26:00+02:00,"[60,60]","[6.34,0]"
2020-07-19T12:29:00+02:00,[60],[0]
2020-07-19T12:34:00+02:00,[60],[0]
2020-07-19T12:44:00+02:00,[60],[5.07]
2020-07-19T12:46:00+02:00,[60],[4.63]
2020-07-19T12:50:00+02:00,[60],[7.4]
2020-07-19T12:52:00+02:00,[60],[13.23]
2020-07-19T12:57:00+02:00,[60],[4.22]
2020-07-19T13:09:00+02:00,[60],[0]
2020-07-19T13:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,5.08,11.21,71.45,64.16,68.26,71.32,65.19,78.21,68.85,69.59,36.71,63.41,56.52,66.2,62.86,68.11,64.58,19.24]"
2020-07-19T13:33:00+02:00,"[60,60,60,60,60,60,60,60]","[11.66,54.74,54.53,56.32,37.83,43.17,39.3,50.66]"
2020-07-19T13:44:00+02:00,"[60,60,60,60,60]","[3.61,0,3.99,4.68,5.03]"
2020-07-19T13:51:00+02:00,"[60,60]","[0,0]"
2020-07-19T13:55:00+02:00,[60],[8.74]
2020-07-19T13:57:00+02:00,[60],[4.63]
2020-07-19T14:06:00+02:00,"[60,60,60,60]","[38.65,75.16,90.28,51.3]"
2020-07-19T14:12:00+02:00,[60],[4.18]
2020-07-19T14:14:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[19.06,19.57,20.84,72.2,56.82,71.1,77.3,80.38,65.47,54.37,73.63,76.58,73.47,63.82,76.38,66.64,45.37,78.43,74.39,79.15,73.51,63.3]"
2020-07-19T14:37:00+02:00,"[60,60,60,60]","[4.43,42.07,24.31,7.63]"
2020-07-19T14:43:00+02:00,"[60,60]","[5.56,0]"
2020-07-19T14:47:00+02:00,[60],[4.74]
2020-07-19T14:50:00+02:00,"[60,60]","[6.35,9.6]"
2020-07-19T14:53:00+02:00,"[60,60]","[5.11,0]"
2020-07-19T14:56:00+02:00,[60],[6.95]
2020-07-19T16:03:01+02:00,[59],[17.39]
2020-07-19T16:33:00+02:00,"[60,60,60]","[21.23,0,0]"
2020-07-19T16:37:00+02:00,[60],[0]
2020-07-19T17:01:00+02:00,[60],[5.75]
2020-07-19T17:35:00+02:00,[60],[0]
2020-07-19T18:09:00+02:00,[60],[5.71]
2020-07-19T18:12:00+02:00,[60],[9.04]
2020-07-19T19:03:00+02:00,[60],[17.05]
2020-07-19T19:09:00+02:00,"[60,60]","[0,7.2]"
2020-07-19T19:30:00+02:00,[60],[0]
2020-07-19T19:32:00+02:00,[60],[6.07]
2020-07-19T19:58:00+02:00,[60],[4.3]
2020-07-19T20:12:00+02:00,[60],[16.37]
2020-07-19T20:14:00+02:00,[60],[5.54]
2020-07-19T20:16:00+02:00,[60],[6.43]
2020-07-19T20:36:00+02:00,[60],[18.2]
2020-07-19T20:42:00+02:00,[60],[9.12]
2020-07-19T20:45:00+02:00,[60],[10.87]
2020-07-19T20:56:00+02:00,"[60,60]","[13.9,21.82]"
2020-07-19T21:10:00+02:00,[60],[8.84]
2020-07-19T21:37:00+02:00,[60],[5.43]
2020-07-19T21:42:00+02:00,"[60,60]","[8.69,27.81]"
2020-07-19T21:50:00+02:00,[60],[7.72]
2020-07-19T22:16:00+02:00,[60],[8.16]
2020-07-19T22:19:00+02:00,[60],[9.37]
2020-07-19T22:28:00+02:00,[60],[6.56]
2020-07-20T08:07:00+02:00,"[60,60,60,60,60]","[0,0,22.1,38.73,29.88]"
2020-07-20T08:13:00+02:00,"[60,60,60,60,60,60,60,60,60]","[5.18,0,9.2,67.13,41.97,44.33,40.33,20.51,8.48]"
2020-07-20T08:23:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[26.9,7.71,44.9,58.46,89.48,22.13,31.49,78.7,30.04,4.79,12.36]"
2020-07-20T08:59:00+02:00,"[60,60]","[10.87,5.46]"
2020-07-20T09:48:00+02:00,[60],[15.58]
2020-07-20T10:09:00+02:00,"[60,60]","[38.35,15.27]"
2020-07-20T10:29:00+02:00,"[60,60]","[51.58,17.26]"
2020-07-20T10:42:00+02:00,[60],[20.7]
2020-07-20T12:07:00+02:00,"[60,60,60,60,60,60]","[5.88,37.96,13.26,45.31,48.85,12.15]"
2020-07-20T12:14:00+02:00,"[60,60,60,60]","[26.81,7.84,14.42,37]"
2020-07-20T12:30:00+02:00,[60],[3.73]
2020-07-20T12:57:00+02:00,[60],[5.56]
2020-07-20T13:29:00+02:00,[60],[7.57]
2020-07-20T13:32:00+02:00,[60],[6.45]
2020-07-20T13:34:00+02:00,"[60,60,60,60,60,60]","[4.39,10.61,5.62,30.43,80.44,67.53]"
2020-07-20T13:43:00+02:00,"[60,60,60,60,60]","[74.99,48.33,55.66,15,31.56]"
2020-07-20T14:12:00+02:00,"[60,60]","[6.54,0]"
2020-07-20T14:41:00+02:00,[60],[4.63]
2020-07-20T14:46:00+02:00,[60],[19.93]
2020-07-20T14:50:00+02:00,"[60,60]","[12.46,8.73]"
2020-07-20T14:53:00+02:00,[60],[16.53]
2020-07-20T15:10:00+02:00,[60],[13.95]
2020-07-20T15:36:00+02:00,[60],[0]
2020-07-20T15:54:00+02:00,[60],[4.059]
2020-07-20T16:12:00+02:00,[60],[14.08]
2020-07-20T17:15:00+02:00,"[60,60]","[4.3,4.019]"
2020-07-20T17:19:00+02:00,[60],[17.29]
2020-07-20T17:23:00+02:00,"[60,60,60,60,60,60,60,60,60]","[45.22,47.51,26.85,35.07,55.2,66.86,72.93,36.36,12.08]"
2020-07-20T17:32:00+02:00,"[60,60]","[10.57,7.59]"
2020-07-20T18:03:00+02:00,[60],[19.24]
2020-07-20T18:42:00+02:00,[60],[10.01]
2020-07-20T18:50:00+02:00,"[60,60]","[9.68,4.3]"
2020-07-20T18:53:00+02:00,[60],[5.5]
2020-07-20T18:58:00+02:00,"[60,60]","[0,0]"
